"Quantity","base.from","sector","base.to","demand"
0,1,6,1,6
0,1,7,1,6
0,1,8,1,6
0,1,9,1,6
0,1,10,1,6
0,2,1,1,6
0,2,2,1,6
0,2,3,1,6
0,2,4,1,6
0,2,5,1,6
0,2,6,1,6
0,2,7,1,6
0,2,8,1,6
0,2,9,1,6
0,2,10,1,6
0,3,1,1,6
0,3,2,1,6
0,3,3,1,6
0,3,4,1,6
0,3,5,1,6
0,3,6,1,6
0,3,7,1,6
0,3,8,1,6
0,3,9,1,6
0,3,10,1,6
0,4,1,1,6
0,4,2,1,6
0,4,3,1,6
0,4,4,1,6
0,4,5,1,6
0,4,6,1,6
0,4,7,1,6
0,4,8,1,6
0,4,9,1,6
0,4,10,1,6
0,5,1,1,6
0,5,2,1,6
0,5,3,1,6
0,5,4,1,6
0,5,5,1,6
0,5,6,1,6
0,5,7,1,6
0,5,8,1,6
0,5,9,1,6
0,5,10,1,6
3414.42057350251,1,1,2,1
2979.75196778085,1,2,2,1
1808.82477053481,1,3,2,1
10908.3553948957,1,4,2,1
5912.57581304684,1,5,2,1
3241.4873855527,1,6,2,1
62916.455355685,1,7,2,1
2804.39519381053,1,8,2,1
879.421079679319,1,9,2,1
2685.82997290979,1,10,2,1
1984812.36978791,2,1,2,1
115895.499410782,2,2,2,1
233725.996252306,2,3,2,1
951572.31317571,2,4,2,1
490983.625845972,2,5,2,1
128450.808118221,2,6,2,1
4808417.18611802,2,7,2,1
711123.166259355,2,8,2,1
768849.767244552,2,9,2,1
3093958.40704123,2,10,2,1
35.5794917612273,3,1,2,1
8.25540073414333,3,2,2,1
7.62967400999816,3,3,2,1
32.478390485714,3,4,2,1
86.4200023662529,3,5,2,1
11.6193316293453,3,6,2,1
244.251087696494,3,7,2,1
125.856809780698,3,8,2,1
4.16038493367081,3,9,2,1
11.0469718883732,3,10,2,1
185.804359877749,4,1,2,1
254.004501913576,4,2,2,1
31.4543168337498,4,3,2,1
387.408068264677,4,4,2,1
141.197135795953,4,5,2,1
140.600404189745,4,6,2,1
1081.77506675736,4,7,2,1
14.0966152097956,4,8,2,1
29.469162487042,4,9,2,1
8.79557456988985,4,10,2,1
11520.8128379788,5,1,2,1
4678.15609968909,5,2,2,1
23335.2440879817,5,3,2,1
37121.5893115777,5,4,2,1
61403.7339141185,5,5,2,1
21873.979503299,5,6,2,1
160057.464595889,5,7,2,1
7380.33470102692,5,8,2,1
3275.433948271,5,9,2,1
3058.12011502107,5,10,2,1
0,1,1,2,2
0,1,2,2,2
0,1,3,2,2
0,1,4,2,2
0,1,5,2,2
0,1,6,2,2
0,1,7,2,2
0,1,8,2,2
0,1,9,2,2
0,1,10,2,2
0,2,1,2,2
0,2,2,2,2
0,2,3,2,2
0,2,4,2,2
0,2,5,2,2
0,2,6,2,2
0,2,7,2,2
0,2,8,2,2
